TIME;HOME;AWAY;MATCH_ID;1;X;2;UG_0_2;UG_3_PLUS;UG_4_PLUS;GG;I_GG;GG_3_PLUS
13:00;Persija Jakarta;PSBS Biak;734;1.05;10.0;26.0;2.95;1.33;1.88;3.0;6.5;3.3
13:00;Kleczew;Podbeskidzie;768;3.2;3.3;2.12;1.9;1.8;3.05;1.63;4.5;2.13
13:30;Proxy;Tanta;378;1.85;2.85;4.6;1.28;3.25;7.4;2.75;8.25;4.25
13:45;Bielsko-Biala;GKS Jastrzebie;760;1.42;4.35;6.3;2.23;1.57;2.5;1.75;4.65;2.12
14:00;Dugopolje;Jarun;756;2.13;3.0;3.3;1.55;2.25;4.3;1.95;5.6;2.72
14:00;Opatija;Croatia Zmijavci;747;1.88;3.2;3.8;1.47;2.4;4.9;2.15;6.3;3.0
14:00;Slask Wroclaw 2;Swit Skolwin;772;2.03;3.55;3.2;2.15;1.62;2.6;1.53;4.1;1.92
14:00;Bilje;Ilirija;763;1.95;3.45;3.5;1.88;1.8;3.1;1.67;4.6;2.18
14:25;Al Najma;Al Shabab Manama;388;2.23;3.0;3.05;1.63;2.1;3.9;1.85;5.2;2.52
14:40;Al Akhdood;Al Najma;789;2.15;3.5;2.95;1.8;1.9;3.3;1.7;4.7;2.23
15:00;AL Sarhan;Al Baqaa;;2.75;3.4;2.22;1.88;1.82;3.0;1.68;;
15:00;NK Krka;Krsko;761;1.5;4.15;5.45;2.1;1.65;2.68;1.73;4.7;2.15
15:30;Al Arabi;Al-Shahaniya;768;1.57;4.4;4.75;2.6;1.43;2.1;1.48;3.75;1.75
15:30;Rudar Velenje;Jesenice;756;1.35;4.55;7.2;2.2;1.57;2.52;1.85;4.85;2.23
15:50;Al-Hilal Riyadh;Al-Shabab;781;1.23;5.8;9.5;2.65;1.4;2.05;1.83;4.6;2.12
16:30;Dynamo Brest;Molodechno;750;1.12;7.4;16.0;2.9;1.35;1.9;2.15;5.1;2.42
16:30;Poli Iasi;Bihor Oradea;761;2.35;3.05;3.0;1.6;2.15;4.05;1.87;5.3;2.6
17:00;CSKA Moscow;Nizhny Novgorod;784;1.4;4.9;8.0;2.15;1.73;2.8;2.0;5.25;2.42
17:00;Kudrivka;Obolon;764;2.7;3.05;2.52;1.65;2.07;3.8;1.82;5.1;2.5
17:00;Al-Hidd;Budaiya;389;2.07;3.2;3.2;1.8;1.87;3.3;1.7;4.75;2.27
17:00;Karlovac;Dubrava;751;1.67;3.25;4.95;1.62;2.12;3.95;2.05;5.75;2.75
17:00;Banska Bystrica;I. Bratislava;763;1.35;4.95;6.9;2.4;1.5;2.27;1.72;4.45;2.03
17:30;Al Jazeera Amman;Al-Faisaly Amman;;5.4;3.6;1.55;1.76;1.95;3.3;1.98;;
17:30;Al Wakra;Qatar SC;775;1.83;4.15;3.5;2.6;1.43;2.1;1.4;3.5;1.65
17:45;S. Wola;R. Rzeszow;771;1.9;3.7;3.45;2.23;1.57;2.47;1.52;4.0;1.85
18:00;Basaksehir;Kocaelispor;786;1.88;3.55;4.15;1.8;2.0;3.6;1.85;5.2;2.4
18:00;Termalica B-B.;GKS Katowice;795;2.35;3.4;2.95;2.0;1.82;3.05;1.65;4.4;2.1
18:00;Stripfing;Rapid Vienna II;790;1.95;3.5;3.65;2.0;1.77;3.0;1.67;4.55;2.1
18:00;Aris;Chloraka;752;1.14;7.4;16.0;2.6;1.43;2.12;2.3;5.6;2.63
18:00;Tersana;Baladiyyat Mehalla;380;2.23;2.62;3.6;1.25;3.5;8.25;2.65;8.25;4.35
18:00;Hatayspor;Erzurum BB;760;4.95;3.85;1.65;1.95;1.77;3.0;1.77;4.85;2.25
18:00;Leczna;Polonia Warszawa;772;3.15;3.6;2.07;2.2;1.6;2.55;1.52;4.0;1.88
18:00;Jihlava;Sparta Prague B;763;1.95;3.45;3.5;1.92;1.77;3.0;1.65;4.5;2.1
18:00;Prostejov;Pribram;763;2.12;3.2;3.3;1.75;1.95;3.45;1.75;4.9;2.35
18:00;Z. Moravce;Lehota p. V.;760;1.19;6.5;11.0;2.85;1.37;1.95;1.85;4.55;2.1
18:30;Elversberg;Hannover;798;2.37;3.65;2.8;2.27;1.63;2.57;1.53;3.9;1.87
18:30;Preussen Munster;Holstein Kiel;796;3.2;3.5;2.23;2.1;1.73;2.85;1.62;4.2;2.0
18:30;Durban City;Kaizer Chiefs;740;3.0;2.65;2.65;1.33;3.0;6.7;2.37;7.2;3.7
18:30;Siwelele;Sekhukhune;735;3.25;2.63;2.63;1.27;3.45;8.0;2.62;8.0;4.3
18:30;Al Ettifaq;Al-Hazem;790;1.93;3.6;3.4;2.03;1.7;2.8;1.6;4.33;2.03
19:00;Viktoria Koln;Ingolstadt;795;2.35;3.65;2.78;2.3;1.55;2.42;1.47;3.75;1.8
19:00;Lugo;Barakaldo;754;2.15;2.95;3.25;1.53;2.3;4.45;1.97;5.7;2.78
19:00;A. Italiano;Cobresal;770;1.9;3.65;3.5;2.1;1.65;2.65;1.57;4.2;1.93
19:00;Horsens;Koge;760;1.43;4.6;6.5;2.25;1.57;2.47;1.75;4.55;2.12
19:00;Deportes Temuco;Recoleta;756;2.15;3.25;3.2;1.55;2.28;4.4;1.97;5.7;2.72
19:00;F. Amager;AB Copenhagen;388;3.75;3.85;1.72;2.1;1.65;2.65;1.6;4.3;1.97
19:00;Warta Poznan;KKS Kalisz;759;1.57;3.75;5.3;1.9;1.8;3.1;1.87;5.0;2.37
19:30;Din. Bucuresti;CFR Cluj;785;2.37;3.05;3.1;1.63;2.25;4.25;1.95;5.35;2.65
19:30;Chateauroux;Aubagne;761;2.42;3.0;2.9;1.62;2.15;4.0;1.87;5.25;2.57
19:30;Dijon;Fleury-Merogis;758;1.87;3.3;4.0;1.63;2.13;3.95;1.95;5.5;2.62
19:30;Le Puy-en-Velay;Concarneau;758;2.12;3.1;3.35;1.65;2.1;3.9;1.87;5.25;2.57
19:30;Paris 13 Atl.;Bourg;753;1.92;3.15;4.0;1.55;2.3;4.5;2.07;5.9;2.85
19:30;Sochaux;Versailles;751;1.95;3.1;3.9;1.5;2.4;4.8;2.12;6.1;2.95
19:30;Stade Briochin;Caen;760;3.75;3.4;1.9;1.75;1.95;3.5;1.8;5.0;2.35
19:30;Valenciennes;Quevilly Rouen;756;1.72;3.45;4.7;1.67;2.05;3.7;1.97;5.4;2.6
19:45;Skierniewice;LKS Lodz II;753;1.45;4.05;6.7;1.9;1.8;3.05;2.0;5.4;2.52
20:00;PSV;Fortuna Sittard;783;1.14;8.75;16.0;3.65;1.3;1.73;1.9;4.1;2.05
20:00;Annecy;Boulogne;775;2.05;3.1;4.05;1.45;2.7;5.7;2.32;6.8;3.35
20:00;Bastia;Clermont;781;1.8;3.5;4.7;1.65;2.2;4.1;2.07;5.7;2.75
20:00;Guingamp;Laval;783;2.0;3.25;4.0;1.67;2.18;4.1;2.0;5.4;2.63
20:00;Le Mans;Nancy;785;2.2;3.1;3.55;1.65;2.25;4.15;1.97;5.4;2.68
20:00;Montpellier;Rodez;793;1.95;3.55;3.8;2.03;1.8;3.0;1.7;4.5;2.1
20:00;Kisvarda;Nyiregyhaza;786;2.12;3.3;3.4;1.77;1.95;3.45;1.75;4.85;2.33
20:00;Den Bosch;De Graafschap;804;2.8;3.95;2.18;3.05;1.35;1.88;1.33;3.05;1.5
20:00;Oss;Helmond;795;2.6;3.5;2.47;2.13;1.67;2.68;1.55;4.0;1.9
20:00;Venlo;Vitesse;797;2.0;3.75;3.3;2.23;1.63;2.55;1.55;3.95;1.87
20:00;K. Lierse;Lommel SK;767;3.5;3.6;1.9;2.07;1.67;2.72;1.57;4.25;1.97
20:00;Lokeren-Temse;Francs Borains;770;2.5;3.25;2.62;1.9;1.8;3.1;1.63;4.5;2.12
20:15;Etoile-Carouge;Bellinzona;762;1.92;3.45;3.85;1.85;1.85;3.25;1.72;4.75;2.23
20:15;Yverdon;Vaduz;770;1.8;3.9;3.9;2.3;1.55;2.42;1.52;3.95;1.83
20:30;Augsburg;Dortmund;910;4.75;4.33;1.67;2.6;1.52;2.27;1.52;3.9;1.8
20:30;Luton;Forest Green;763;1.53;4.3;6.2;2.1;1.73;2.85;1.85;4.95;2.3
20:30;Racing Santander;Real Sociedad B;791;1.55;4.4;5.4;2.33;1.57;2.47;1.67;4.35;2.0
20:30;Piast Gliwice;Korona Kielce;790;2.52;3.15;2.9;1.73;2.1;3.85;1.85;5.0;2.47
20:30;Kapfenberg;Austria Salzburg;794;2.5;3.55;2.57;2.07;1.7;2.8;1.57;4.25;2.0
20:30;Ruch Chorzow;Tychy;770;1.85;3.75;3.7;2.18;1.6;2.57;1.55;4.1;1.9
20:30;Zaglebie Sosnowiec;Chojniczanka;770;1.97;3.55;3.4;2.1;1.65;2.65;1.55;4.15;1.95
20:30;Casertana;Catania;748;3.4;2.9;2.13;1.45;2.5;5.1;2.12;6.3;3.05
20:30;Picerno;Cavese;763;2.6;3.0;2.57;1.6;2.13;4.0;1.85;5.25;2.55
20:45;Standard;Charleroi;786;2.75;3.15;2.7;1.7;2.2;4.1;1.92;5.25;2.6
